id,baseline_answer,baseline_latency_ms,baseline_input_tokens,baseline_output_tokens,baseline_classification,baseline_classification_explanation
20,"את ההשגה בכתב על שומת מס יש להגיש תוך 30 יום מיום שנמסרה השומה. במקרים מסוימים, פקיד השומה רשאי להאריך תקופה זו אם הוצגה סיבה סבירה המצדיקה את האיחור.",913.3,152,72,correct,"תשובת המערכת מכילה את המידע המדויק המופיע בתשובת הייחוס (30 יום), בתוספת מידע משלים נכון עובדתית."
21,אינני יודע.,572.7,167,6,refused,"סירב לענות (זוהה בקוד, ללא שופט)"
22,"תקרת הפטור ממס למענק פרישה (פיצויים) לכל שנת עבודה נכון לשנת המס 2026 עומדת על 13,750 ש""ח.",650.0,160,50,correct,התשובה מציינת את הסכום הנכון כפי שמופיע בתשובת הייחוס. הוספת שנת המס אינה פוגעת בנכונות הנתון המהותי.
23,אינני יודע.,503.8,177,6,refused,"סירב לענות (זוהה בקוד, ללא שופט)"
24,אינני יודע.,668.4,153,6,refused,"סירב לענות (זוהה בקוד, ללא שופט)"
25,אינני יודע.,722.4,160,6,refused,"סירב לענות (זוהה בקוד, ללא שופט)"
26,אינני יודע.,521.4,172,6,refused,"סירב לענות (זוהה בקוד, ללא שופט)"
27,"יש להגיש הצהרה לרשויות מיסוי מקרקעין תוך 30 ימים מיום מכירת הנכס (יום ביצוע העסקה). מדובר בדיווח על מכירה ורכישה של זכות במקרקעין, המוגש באמצעות טפסים ייעודיים.",839.3,162,74,hallucinated,"החוק קובע 40 ימים, ותשובת המערכת ציינה בטעות 30 ימים."
28,"כדי ליהנות מפטור ממס שבח במכירת דירת מגורים יחידה לפי סעיף 49ב(2) לחוק מיסוי מקרקעין, על המוכר להיות בעל הזכות בדירה במשך 18 חודשים לפחות מיום רכישתה. כמו כן, זו צריכה להיות דירתו היחידה בישראל (ובאזור יהודה והשומרון), ולא הייתה לו דירה נוספת במקביל, למעט חריגים הקבועים בחוק כגון דירה שנוספה בירושה או דירה שחלקו בה אינו עולה על שליש. בנוסף, המוכר לא מכר דירה אחרת בפטור זה ב-18 החודשים שקדמו למכירה (או ב-12 החודשים שקדמו אם הדירה האחרת נרכשה כתחליף).",1328.4,165,206,correct,"תשובת המערכת מפורטת ומדויקת יותר מתשובת הייחוס, וכוללת את התנאים המרכזיים (תקופת הבעלות, הגדרת דירה יחידה וחריגיה, ותקופת הצינון) בצורה נכונה ומהימנה."
29,"אינך יכול לנכות הוצאות כלשהן, לרבות תיקונים ופחת, במסלול מס מופחת של 10% על הכנסות משכר דירה למגורים. מסלול זה מחייב תשלום מס של 10% ברוטו על מלוא סכום ההכנסה משכר הדירה, מבלי לקחת בחשבון הוצאות כלשהן או פחת.",870.4,183,98,hallucinated,"תשובת המערכת אומרת שלא ניתן לנכות פחת כלל, בעוד תשובת הייחוס מציינת כי פחת עשוי להיות מותר במקרים מסוימים (על פי פרשנות רשות המיסים והפסיקה)."
30,אינני יודע.,523.9,166,6,refused,"סירב לענות (זוהה בקוד, ללא שופט)"
31,אינני יודע.,551.8,158,6,refused,"סירב לענות (זוהה בקוד, ללא שופט)"
32,"מקדמות מס הכנסה משולמות בדרך כלל אחת לחודש או אחת לחודשיים, בהתאם להחלטת פקיד השומה או לבחירת העסק. המועד האחרון לתשלום כל מקדמה הוא ב-20 לחודש העוקב אחר תקופת הדיווח (למשל, עבור חודשים ינואר-פברואר משלמים עד ה-20 במרץ).",877.1,152,102,hallucinated,"תשובת המערכת מציינת את ה-20 לחודש כמועד התשלום, בעוד תשובת הייחוס (והנוהל התקין) מציינים את ה-15 לחודש (או ה-19 בתשלום מקוון)."
33,אינני יודע.,552.0,166,6,refused,"סירב לענות (זוהה בקוד, ללא שופט)"
34,אינני יודע.,620.1,158,6,refused,"סירב לענות (זוהה בקוד, ללא שופט)"
