question,reference_answer,evidence_doc,evidence_page,answerable,difficulty,category
מתי צריך לדווח ולשלם את המקדמות במס הכנסה בכל חודש?,ה-15 לחודש,general-tax-guide,4. טפסים מרכזיים במערכת המס הישראלית,True,easy,synthetic
איפה אפשר להפיק אישור שנתי על משכורת וניכוי מס (טופס 106) עבור השנים האחרונות?,ניתן להפיק גם דרך האזור האישי באתר רשות המסים עבור 6 השנים האחרונות.,general-tax-guide,4. טפסים מרכזיים במערכת המס הישראלית,True,easy,synthetic
"כל כמה זמן צריך לדווח ולשלם מע""מ אם מחזור העסקאות השנתי שלי הוא מעל מיליון וחצי שקלים?","אחת לחודש, עד ה-15 בכל חודש.",general-tax-guide,"1. מע""מ (מס ערך מוסף)",True,easy,synthetic
תוך כמה זמן צריך להגיש השגה בכתב על שומת מס?,בתוך 30 יום מיום קבלת הודעת השומה.,general-tax-guide,7. השגה על שומת מס וערעור - סקירה כללית,True,easy,synthetic
מהי תקרת מחזור העסקאות השנתי הנדרשת כדי להישאר עוסק פטור בשנת 2026?,"122,833 ₪",general-tax-guide,"1. מע""מ (מס ערך מוסף)",True,easy,synthetic
מהי תקרת הפטור ממס למענק הון עקב פרישה לכל שנת עבודה?,"13,750 לכל שנת עבודה",income-tax-deductions-booklet-2026,13,True,easy,synthetic
מהו שיעור הפטור המרבי לקצבה שנקבע לשנת המס 2026 במסגרת תיקון 275 לפקודת מס הכנסה?,57.5%,income-tax-deductions-booklet-2026,6,True,easy,synthetic
מהי תקרת הפטור השנתית למלגה אצל חוקר?,"109,000 לשנה",income-tax-deductions-booklet-2026,14,True,easy,synthetic
מה שיעור המס ותקרת ההטבה לשנת 2026 ביישוב ברית חיל?,"שיעור: 20%, תקרה 2026: 267,840",income-tax-deductions-booklet-2026,22,True,easy,synthetic
מהו שיעור מס השבח שמוטל על שבח ריאלי שנצמח ליחיד החל מיום 7 בנובמבר 2001?,עד 25% ליחיד,real-estate-tax-guide,"מיסוי מקרקעין/נדל""ן בישראל — מדריך מקורות רשמיים (שנת מס 2026)",True,easy,synthetic
תוך כמה זמן צריך להגיש הצהרה לרשויות מיסוי מקרקעין לאחר מכירת נכס?,תוך 40 יום ממועד המכירה,real-estate-tax-guide,אופן הדיווח,True,easy,synthetic
אילו תנאים צריך לקיים בעל דירת מגורים יחידה כדי למכור אותה בפטור ממס שבח?,"המוכר הוא תושב ישראל המחזיק ב""דירת מגורים יחידה"" (לרבות בעלות של עד 1/3 בדירה נוספת, או דירה שהושכרה בשכירות מוגנת או לתקופה שאינה עולה על 5 שנים), הדירה שימשה בעיקרה למגורים (מעל 50% משטחה), והוא זכאי למכור דירה אחת בפטור בכפוף לתקופות צינון בין מכירות פטורות.",real-estate-tax-guide,תנאים עיקריים לזכאות (לפי סעיף 49ב(2) וסעיף 49א לחוק — ראו נוסח חוק בנבו),True,easy,synthetic
אני משכיר דירת מגורים בישראל ומעוניין לשלם מס מופחת של 10%. האם אני יכול לנכות הוצאות כמו תיקונים ופחת במסלול הזה?,"לא, במסלול זה (מסלול ב' לפי סעיף 122) משלמים מס בשיעור קבוע של 10% על מלוא ההכנסה מהשקל הראשון, ללא זכות לניכוי הוצאות (למעט פחת/מס רכישה במקרים מסוימים) וללא זיכויים/קיזוזים כנגד הכנסה זו.",real-estate-tax-guide,מסלול ב' — מס מופחת בשיעור 10%,True,easy,synthetic
מהם שיעורי ההפרשה המזעריים לפנסיית חובה לעצמאים לפי חלקי ההכנסה השונים?,"4.45% מההכנסה עד מחצית השכר הממוצע במשק, ו-12.55% מחלק ההכנסה שמעל מחצית השכר הממוצע ועד מלוא השכר הממוצע (כ-165,228 ₪ בשנה).",self-employed-tax-guide,5. ניהול ספרים — חובות דיווח והוצאות מוכרות,True,easy,synthetic
מהם התנאים כדי להיחשב כעובד עצמאי לצורך ביטוח לאומי?,"מי שמתקיים בו לפחות אחד מהתנאים הבאים: עוסק במקצועו בממוצע 20 שעות שבועיות ומעלה; או הכנסתו החודשית הממוצעת מגיעה לפחות ל-50% מהשכר הממוצע במשק — 6,885 ₪ לחודש (נכון ל-1.1.2026); או עוסק במקצועו 12 שעות שבועיות ומעלה וגם הכנסתו מגיעה לפחות ל-15% מהשכר הממוצע — 2,065 ₪ לחודש (נכון ל-1.1.2026).",self-employed-tax-guide,2. ביטוח לאומי ומס בריאות לעצמאים — שיעורים ותקרות (2026),True,easy,synthetic
מתי צריך לשלם את מקדמות מס הכנסה במהלך השנה?,"מקדמות משולמות מדי חודש או חודשיים, עד ה-15 לחודש (עד ה-19 בתשלום מקוון באתר רשות המסים).",self-employed-tax-guide,שיעורי דמי הביטוח (עצמאים בגילאי 18 ועד גיל פרישה),True,easy,synthetic
עד איזה תאריך צריך להגיש את הדוח השנתי המקוון לעצמאי לשנת המס 2025?,עד 30.6.2026,self-employed-tax-guide,6. הפרשות לפנסיה לעצמאים — חובה חוקית וניכויים,True,easy,synthetic
מהי תקרה למחזור עסקאות של עוסק פטור לשנת 2026?,"122,833 ₪ בשנה",self-employed-tax-guide,3. מקדמות מס הכנסה לעצמאים,True,easy,synthetic
